"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"CH","2025-07-13","80.9","2.11","6.48","Gomber, Austin",682829,596295,"field_out","hit_into_play",,,,,8,"Elly De La Cruz flies out to first baseman Michael Toglia in foul territory.","R","R","L","CIN","COL","X",3,"fly_ball",1,1,2025,"0.89","0.86","-0.11","1.75",,670770,680574,0,5,"Bot",185.89,148.62,,,,,-6.704700424245049,-117.6549601828799,-5.640492144502112,9.502262148081371,20.78884776715336,-23.27243209987181,"3.54","1.69",195,"79.9",59,"81.8",1529,"6.8",777128,543592,669911,571657,641857,690022,692585,686668,671289,"53.71",0.043,0.05,"0",1,0,0,3,40,3,"Changeup",2,2,2,2,2,2,2,2,"Standard","Standard",127,"-0.064","-0.237","70.0","7.5",0.065,"0.237","88.0",0,0,"0.677","0.677",31,23,32,23,3,2,6,1,8,5,"2.6","0.89","-0.89","49.7",11.159871436909846,-3.148006313710006,39.81288159626317,39.283855549812664,38.63583258847758
"ST","2025-07-13","80.4","2.78","5.32","Imanaga, Shota",519317,684007,,"foul",,,,,13,"Giancarlo Stanton flies out to right fielder Seiya Suzuki.","R","R","L","NYY","CHC","S",,,3,1,2025,"-0.95","0.43","-0.91","2.76",,,,2,7,"Bot",,,,,,,-6.370532180541365,-116.94021551975266,0.24249816762196308,-7.314550803252363,23.965660388743363,-28.56451256004872,"3.77","1.77",179,"59.5",39,"79.9",2571,"6.2",777122,608348,683737,663538,807713,621020,664023,691718,673548,"54.3",,,,,,,,54,5,"Sweeper",1,4,1,4,4,1,1,4,"Infield shade","Standard",292,"0","-0.089","83.5","8.6",,"0.089","88.0",-3,-3,"0.075","0.075",31,35,32,36,3,2,5,1,6,5,"3.13","-0.95","0.95","35.2",8.667411671091374,-7.834040025429283,27.21640011390293,31.92837227193989,27.7107198561893
"CH","2025-07-13","76.7","0.49","6.03","Cantillo, Joey",643217,676282,"home_run","hit_into_play",,,,,2,"Andrew Benintendi homers (11) on a fly ball to right field.","R","L","L","CWS","CLE","X",,"fly_ball",1,1,2025,"1.16","1.02","0.17","2.97",,,,1,6,"Bot",217.49,67.8,,,,,-2.8370483882373843,-111.62460468317455,-1.2746743036169614,10.155973361458123,21.946114963927148,-23.681008709525774,"3.27","1.49",394,"100.6",32,"77.9",1515,"7.4",777120,666310,467793,682657,608070,677587,680757,666134,671286,"53.14",0.509,0.985,"2",1,0,3,6,47,3,"Changeup",3,4,3,4,4,4,4,4,"Standard","Strategic",133,"0.194","1.595","72.8","6.9",1.912,"-1.595","100.6",-1,-1,"0.347","0.347",25,30,26,31,3,2,5,1,9,5,"2.88","1.16","1.16","53.3",20.332285596484414,-15.66403661076021,21.27821884021874,28.8961863649462,41.45293856004524
"FF","2025-07-13","89.6","2.47","5.89","Springs, Jeffrey",680718,605488,,"ball",,,,,13,"Addison Barger homers (13) on a fly ball to right center field. Vladimir Guerrero Jr. scores.","R","L","L","ATH","TOR","B",,,0,0,2025,"1.24","1.1","-1.46","2.02",,,665489,2,7,"Top",,,,,,,-12.326592945171287,-129.86278092828897,-5.877421144787664,16.60434771939652,26.48388463482543,-18.54954181182622,"3.5","1.65",,,,"89.6",2338,"6.5",777116,642851,701762,691777,570482,805779,691016,672016,671732,"54.04",,,,,,,,51,1,"4-Seam Fastball",6,1,1,6,1,6,1,6,"Infield shade","Standard",134,"0","0.034",,,,"-0.034",,5,-5,"0.982","0.018",32,25,33,26,3,2,5,1,7,5,"1.75","1.24","1.24","38.1",,,,,
"SL","2025-07-13","82","1.19","6.33","Cameron, Noah",620443,702070,,"foul_tip",,,,,2,"Luis Torrens grounds into a double play, third baseman Maikel Garcia to second baseman Jonathan India to first baseman Vinnie Pasquantino. Tyrone Taylor out at 2nd. Luis Torrens out at 1st.","R","R","L","KC","NYM","S",,,0,0,2025,"-0.5","-0.16","0.25","3.04",,,621438,0,7,"Top",,,,,,,-1.1626903301180487,-119.45682879768727,-0.6185176202346371,-4.57398007489016,22.22619198264607,-33.77960968449079,"3.45","1.54",,,,"82.1",2452,"6.2",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.31",,,,,,,,49,1,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",295,"0","-0.042","70.3","6.7",,"0.042",,2,-2,"0.765","0.235",25,29,26,29,3,2,6,1,8,5,"3.53","-0.5","0.5","59.1",5.368098028410161,23.46633568534336,25.024494545004384,40.396705789383645,16.66801893233282
"FF","2025-07-13","89.6","2.06","6.77","Gomber, Austin",682829,596295,,"called_strike",,,,,13,"Elly De La Cruz flies out to first baseman Michael Toglia in foul territory.","R","R","L","CIN","COL","S",,,1,0,2025,"0.69","1.41","-0.83","2.19",,670770,680574,0,5,"Bot",,,,,,,-8.62657607437817,-129.99429820318778,-8.320002964118377,9.591082082516817,26.122111844147906,-14.573479118785214,"3.6","1.69",,,,"89.9",1961,"6.5",777128,543592,669911,571657,641857,690022,692585,686668,671289,"53.96",,,,,,,,40,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard",148,"0","-0.055",,,,"0.055",,0,0,"0.677","0.677",31,23,32,23,3,2,6,1,8,5,"1.44","0.69","-0.69","53.1",,,,,
"SL","2025-07-13","87.4","2.41","6.27","Ray, Robbie",518692,592662,"strikeout","swinging_strike",,,,,11,"Freddie Freeman strikes out swinging.","R","L","L","SF","LAD","S",2,,0,2,2025,"0.07","1.01","-1.57","2.94",,,,1,6,"Top",,,,,,,-9.618757568185302,-126.94216094422796,-3.9475482689259884,2.521776327435343,23.743729944412497,-20.57448869770414,"3.73","1.8",,,,"86.9",2409,"5.9",777119,672275,527038,669477,656305,642715,671218,808982,573262,"54.61",,0,"0",1,0,0,,41,3,"Slider",0,2,2,0,2,0,2,0,"Standard","Standard",162,"0.012","-0.162","53.6","7.8",,"0.162",,-2,2,"0.228","0.772",33,35,34,36,3,2,5,1,7,5,"1.96","0.07","0.07","45.1",21.23644485332753,-22.423161640560053,28.33110944339556,58.90651627357535,37.67078099298219
"FF","2025-07-13","90.6","2.38","5.29","Imanaga, Shota",519317,684007,,"called_strike",,,,,7,"Giancarlo Stanton flies out to right fielder Seiya Suzuki.","R","R","L","NYY","CHC","S",,,3,0,2025,"1.44","1.42","-0.69","2.2",,,,2,7,"Bot",,,,,,,-10.688915128208253,-131.38392066125695,-4.759406337151396,19.01453371804615,28.263252180172188,-14.883241028886856,"3.73","1.77",,,,"90.1",2349,"6.2",777122,608348,683737,663538,807713,621020,664023,691718,673548,"54.31",,,,,,,,54,4,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",137,"0","-0.058",,,,"0.058",,-3,-3,"0.075","0.075",31,35,32,36,3,2,5,1,6,5,"1.38","1.44","-1.44","35.5",,,,,
"FF","2025-07-13","89.3","2.58","5.93","Springs, Jeffrey",672386,605488,"field_out","hit_into_play",,,,,5,"Alejandro Kirk flies out to center fielder Denzel Clarke.","R","R","L","ATH","TOR","X",8,"fly_ball",0,1,2025,"0.98","1.23","0.09","2.62",,,665489,1,7,"Top",126.33,77.53,,,,,-8.213721291676777,-129.6439728801714,-4.644591216241075,12.86396103582856,29.017719434711605,-17.5690027462684,"3.13","1.5",302,"95",44,"89",2274,"6.4",777116,642851,701762,691777,570482,805779,691016,672016,671732,"54.08",0.014,0.026,"0",1,0,0,3,50,2,"4-Seam Fastball",6,1,1,6,1,6,1,6,"Standard","Standard",136,"0.01","-0.215","76.5","7.3",0.049,"0.215","95.0",5,-5,"0.972","0.028",32,26,33,27,3,2,5,1,7,5,"1.66","0.98","-0.98","37.1",8.575471411022706,2.430080162435951,23.846392312774178,38.792168855846285,30.64083615796137
"CU","2025-07-13","77.7","0.85","6.54","Cameron, Noah",621438,702070,"single","hit_into_play",,,,,9,"Tyrone Taylor singles on a line drive to center fielder Kyle Isbel.","R","R","L","KC","NYM","X",8,"line_drive",1,1,2025,"-0.08","-1.14","0.42","1.96",,,,0,7,"Top",140.67,108.1,,,,,-0.7654325935460069,-113.21075996090975,-0.8486718498367085,-0.5919316600383829,20.01971334541672,-42.07816645076303,"3.67","1.72",151,"105.3",8,"77.8",2398,"6.3",777124,666023,686469,663697,672580,677951,670231,664728,695506,"54.25",0.674,0.627,"0.9",1,1,0,4,48,3,"Curveball",2,0,0,2,0,2,0,2,"Standard","Standard",352,"-0.059","0.46","73.3","7.4",0.757,"-0.46","105.3",2,-2,"0.824","0.176",25,31,26,31,3,2,6,1,8,5,"4.9","-0.08","0.08","64.5",11.1722283663884,11.198356923365253,34.618624267926755,39.074581560322024,23.085725877716854
