"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
614179,"Ruiz, José","R",302,9999,"45.2",-1.5874831470390662,6.364370860927152,0.08475621879094805,4.679035879047586
615698,"Quantrill, Cal","R",1649,146,"44.8",-1.5576394733308137,6.321910248635537,0.1681739848274058,4.60808896792633
620454,"Castillo, José","L",331,9999,"38.9",1.9971895272295523,6.014320241691843,0.10009436240851739,4.482052758615119
621028,"Newman, Kevin","R",5,108,"24.5",-2.3315169521019357,5.984,-0.43790007130124775,5.124797575757576
621051,"Wilson, Steven","R",631,145,"47.7",-1.6148065615076157,5.890301109350237,-0.1309486455870347,4.260117386035239
621053,"Ferguson, Tyler","R",636,133,"26.5",-2.7764725367800445,5.857059748427673,-0.6269062420823104,4.786088296253321
621057,"Garza, Justin","R",83,121,"45.5",-1.4569364345938387,5.696385542168675,0.053004400489659174,4.158641474990873
621107,"Eflin, Zach","R",1127,110,"23.8",-2.7328934004904557,5.555616681455191,-0.4758360686567117,4.559236236866288
621111,"Buehler, Walker","R",1578,111,"42.4",-1.6612098002066695,5.463517110266159,-0.1363132521818498,4.070836003176475
621112,"Blackburn, Paul","R",363,121,"38.9",-1.9553607013674945,5.7324517906336085,-0.1536321950668572,4.277203199471624
621114,"Burr, Ryan","R",39,141,"58.5",-1.0288364631376323,6.326666666666667,0.17366790301202067,4.361682586041409
621121,"McCullers Jr., Lance","R",915,117,"24.8",-2.478770059666734,5.105049180327869,-0.4120569193380283,4.149947053563602
621139,"Kriske, Brooks","R",98,112,"45.6",-1.4500347591492497,6.06734693877551,0.07891798719487796,4.503168574702609
621199,"Bowman, Matt","R",430,110,"30.2",-1.9180348620524628,5.573511627906977,-0.20543039775318161,4.576603562575136
621237,"Alvarado, José","L",338,143,"59.8",0.8356241888848133,6.543698224852071,-0.43480951808372625,4.357917029765106
621242,"Díaz, Edwin","R",700,121,"19.8",-2.7973183051050583,4.954971428571429,-0.7313014197860963,4.211368385154062
621244,"Berríos, José","R",1980,141,"38.5",-2.2166255364919234,5.627010101010101,-0.390024673922829,4.175484228200004
621345,"Minter, A.J.","L",185,121,"41.4",1.7309264863242355,5.642648648648649,0.13897248398130752,4.241305024329142
621363,"Poche, Colin","L",244,9999,"55.7",1.2084458297854836,6.161516393442623,-0.019786275240349493,4.365006556281231
621366,"Borucki, Ryan","L",429,134,"27.6",2.26875088077294,5.601398601398602,0.18203866056700282,4.5119979650474304
621381,"Strahm, Matt","L",691,143,"30.3",2.183252745537472,5.351982633863965,0.057023041988799206,4.1112393406698295
621383,"Banks, Tanner","L",755,143,"48.3",1.7477816447497947,6.404238410596027,0.1638327580833658,4.625019375641888
621512,"Nido, Tomás","R",9,116,"44.7",-1.5078393345538048,6.724444444444444,0.0010024361259655368,5.229841760744702
622253,"Tate, Dillon","R",118,141,"20.5",-2.4577690376021115,5.186864406779661,-0.3279816625879936,4.389171650956222
622379,"Castillo, Luis F.","R",168,136,"12.6",-3.061728279259778,4.839166666666666,-0.6827189781215517,4.308603777268483
622491,"Castillo, Luis","R",1996,136,"15.0",-2.4668018763934625,5.051853707414829,-0.14298593510550514,4.429212236773012
622554,"Domínguez, Seranthony","R",760,9999,"31.6",-1.9888616900769924,5.617605263157895,-0.04177886856177878,4.41949491087344
622608,"Senzatela, Antonio","R",1795,115,"43.6",-1.9170960625200113,6.127175487465181,-0.2199900014895804,4.509671873792819
622663,"Severino, Luis","R",2218,133,"39.7",-1.5770499020228916,5.941839495040577,0.07502294012366813,4.572467491790552
622780,"Perdomo, Angel","L",72,133,"40.2",1.747795612786704,6.356944444444444,-0.1513627463359081,4.749045845712022
622786,"Tinoco, Jesus","R",304,146,"21.0",-2.4270241433218356,5.1401315789473685,-0.24771456838118022,4.3038315106365514
623149,"Sewald, Paul","R",249,114,"16.0",-2.6661127636226434,4.460401606425703,-0.6509060047677341,3.8809018777427
623167,"Flexen, Chris","R",673,112,"64.9",-0.611685195065457,6.816166419019316,0.3631384244066396,4.73246659608055
623168,"Heineman, Tyler","R",8,141,"61.1",-1.182807251731884,6.87625,-0.08374715909090909,4.890236742424243
623211,"Brazobán, Huascar","R",839,121,"36.1",-2.1551570177563444,5.842741358760429,-0.04121412693151809,4.29727124940777
623352,"Hader, Josh","L",772,117,"28.6",2.34278734196683,5.571761658031088,0.25649846960922856,4.435639329288003
623433,"Anderson, Nick","R",32,115,"46.5",-1.4323381114456823,6.4575,0.15266833778966132,4.784522512811943
623437,"Topa, Justin","R",670,142,"10.7",-2.8245427173949,5.017671641791045,-0.4897950924521776,4.577742652512837
623465,"Phillips, Evan","R",92,119,"26.7",-2.156436085631113,5.51304347826087,-0.12365775691699606,4.489761859645044
623474,"Herget, Jimmy","R",880,115,"5.4",-2.890511365666659,5.1056704545454545,-0.5850741856060606,4.882929121900826
624133,"Suárez, Ranger","L",1428,143,"37.4",1.886881076320197,5.835511204481793,0.07359894614708629,4.448272980734183
624431,"Trevino, Jose","R",12,113,"47.8",-1.6597411527096926,6.59,-0.2931393345216875,5.0856349747474745
625643,"López, Reynaldo","R",94,144,"40.6",-1.7432717970943985,5.728297872340425,-0.1829182330185459,4.391894264611067
628317,"Maeda, Kenta","R",170,116,"40.5",-1.8626587100147523,5.7471764705882356,-0.13815413022963197,4.275145600293594
628452,"Iglesias, Raisel","R",628,144,"31.3",-2.37270306346901,5.47843949044586,-0.3355024990917038,4.237850399792228
640448,"Finnegan, Kyle","R",594,120,"49.6",-1.059089578553252,5.7206228956228955,0.3573149213465613,4.052713706134428
640451,"Harvey, Hunter","R",113,118,"43.6",-1.4293458972293023,5.81858407079646,0.19452265628697174,4.274239351347941
640454,"Krook, Matt","L",71,133,"27.6",2.372442614350251,6.005211267605634,0.22917594336069896,4.883650356506239
640455,"Manaea, Sean","L",302,121,"15.2",3.2197603686255327,5.1047350993377485,0.9542948259375996,4.488099337158102
640462,"Puk, A.J.","L",156,109,"26.5",2.3828496591462973,5.5532051282051285,0.11244243566890626,4.420498223182046
640902,"Pereda, Jhonny","R",9,133,"33.5",-1.9778458132873031,5.958888888888889,-0.15537595563477913,4.754735026737968
641154,"López, Pablo","R",1007,142,"35.2",-2.2010290815927576,5.510724925521351,-0.23098999313185598,4.119530221426839
641302,"Alexander, Tyler","L",1104,9999,"33.5",2.149987731674232,5.47893115942029,0.20475464862822598,4.189149940259371
641312,"Anderson, Shaun","R",193,108,"45.2",-1.6512480274120909,6.081658031088083,-0.16056749605164722,4.5822848748072005
641329,"Baker, Bryan","R",734,9999,"54.1",-1.1536765305633983,6.573773841961853,0.3316906680606352,4.522760042887604
641343,"Bauers, Jake","L",3,158,"54.5",1.0314419103979449,6.8933333333333335,-0.2622140819964349,5.0836696969696975
641386,"Bowden, Ben","L",41,133,"33.0",2.0984349907488817,6.10780487804878,-0.007659553932437719,4.73831003869397
641401,"Brogdon, Connor","R",506,108,"31.4",-2.075803457425458,5.725217391304348,-0.07288234589559862,4.501015315324836
641482,"Cortes, Nestor","L",150,158,"51.8",1.422437730923268,5.7678,0.1479113374925728,4.150867496732026
641540,"Dunning, Dane","R",275,9999,"38.7",-1.8719233404992706,5.654909090909091,-0.042158935342732136,4.184835728082969
641656,"Hamilton, Ian","R",641,147,"36.2",-1.8054782359710737,5.883447737909516,0.01736604152936171,4.54595438875309
641658,"Hampson, Garrett","R",3,138,"58.2",-1.613729687161502,6.68,-0.5040067736185384,4.890592632204397
641745,"Keller, Brad","R",777,112,"46.9",-1.4888195349097342,6.351891891891892,0.14603849957673487,4.6038990486284606
641755,"Kinley, Tyler","R",872,115,"46.1",-1.4228253724353361,6.483199541284404,0.15676440375149225,4.841745104171777
641778,"Lauer, Eric","L",1129,141,"38.5",1.585521480076478,6.084092116917626,-0.25634954220999134,4.613473902890732
641793,"Littell, Zack","R",1925,139,"39.2",-2.015736588340941,6.113044155844156,-0.2602065760585226,4.682066020186587
641816,"Mahle, Tyler","R",1235,140,"41.4",-1.8754828231901517,5.643400809716599,-0.22761567104721903,4.190430510655495
641835,"Mayza, Tim","L",162,134,"40.7",2.0406656667588354,6.191358024691358,0.1760847158953368,4.588751203208556
641927,"Ober, Bailey","R",1484,142,"33.2",-2.3119613636360894,5.970256064690027,-0.22459662676391312,4.601953781152255
641941,"Pagán, Emilio","R",707,113,"42.2",-1.5368012658546322,5.603408769448373,0.16749479889165386,4.056260323427301
642016,"Robert, Daniel","R",190,143,"34.6",-2.0510084045402652,6.125421052631579,-0.12900624167370298,4.7995943212308845
642048,"Saucedo, Tayler","L",93,136,"25.9",2.4802875695020914,5.5361290322580645,0.25077846299810247,4.452681596802944
642100,"Speier, Gabe","L",623,136,"27.6",2.0320984078681237,5.334991974317817,0.09261807352154346,4.322045923210959
642121,"Sulser, Cole","R",247,139,"41.5",-1.6881531221820654,5.729028340080972,-0.09028767094618488,4.315339815035326
642152,"Trivino, Lou","R",696,9999,"34.4",-2.065303154101167,6.03823275862069,-0.12285995694777388,4.708429482067122
642180,"Wade, Tyler","R",1,135,"24.5",-2.338841183962096,5.78,-0.3950757575757575,4.891263636363636
642207,"Williams, Devin","R",728,147,"21.6",-2.4291265688619417,5.264120879120879,-0.4690654540312629,4.492314385491959
642216,"Winans, Allan","R",171,147,"28.5",-2.1807598594777278,5.599122807017544,-0.11938190105388248,4.479710958397181
642232,"Yarbrough, Ryan","L",878,147,"12.8",3.2490382239845115,5.0113667425968105,0.9334013667425968,4.486398174225167
642239,"Zastryzny, Rob","L",203,158,"41.5",2.015558235172119,5.650246305418719,0.3480648217907853,4.1728605994749
642397,"Soto, Gregory","L",638,9999,"37.0",2.0476849385229903,5.7100470219435735,0.11240412343050643,4.251595113964651
642520,"Garabito, Gerson","R",121,140,"43.5",-1.9427435745527681,5.725619834710744,-0.2797456571058175,4.14487309188138
642528,"Loáisiga, Jonathan","R",445,147,"44.5",-1.6621680270830044,5.402157303370786,-0.029590183460513945,3.7926246606180776
642547,"Peralta, Freddy","R",2184,158,"38.4",-2.1057179074624908,5.285054945054945,-0.34198925820911114,3.8866355301969273
642585,"Bautista, Félix","R",626,110,"65.8",-0.27710280468042137,6.96832268370607,0.7644215206471784,4.63745625039153
642701,"Santana, Dennis","R",664,134,"32.0",-2.3991690447682763,5.763283132530121,-0.34205307969847304,4.477873823905247
642759,"Fernández, Julian","R",36,119,"47.4",-1.2367327278139801,6.194444444444445,0.46601285898197664,4.346041597346009
643338,"Green, Chad","R",709,141,"46.1",-1.5642065636138027,6.138631875881523,0.07264075836771432,4.434513002421125
643361,"Herget, Kevin","R",102,9999,"50.7",-1.055295927980181,6.194117647058824,0.3313563585683828,4.4988223978539725
643377,"Jax, Griffin","R",760,142,"43.2",-1.4422631827599306,5.4861973684210525,0.22180662292428935,3.9245275465569005
643410,"Leiter Jr., Mark","R",623,147,"50.7",-1.279256182822493,5.806661316211878,0.0851806967322169,4.138104988655319
643511,"Rogers, Tyler","R",603,137,"-60.3",-2.840021873964758,1.3767164179104479,-1.681280876514634,3.4102241949787606
645261,"Alcantara, Sandy","R",1890,146,"31.3",-2.379024872519951,5.9387936507936505,-0.16411992351149213,4.591602309556819
645305,"Sánchez, Ali","R",14,141,"44.5",-1.9955730218582508,7.020714285714286,-0.30863023936847467,5.3626156671759615
646242,"Díaz, Jhonathan","L",26,136,"29.9",2.2588089835780565,5.445769230769231,0.3419010592348828,4.34176663924311
647315,"Pop, Zach","R",127,9999,"29.3",-2.514608016020694,5.5705511811023625,-0.3940287668252698,4.376230367594425
647336,"Soroka, Michael","R",1390,120,"32.6",-2.221558761309099,5.777381294964028,-0.2082094928762872,4.488000213711384
650556,"Abreu, Bryan","R",810,117,"41.3",-1.791969014406666,5.6521234567901235,-0.04490698169054379,4.111864946193966
650633,"King, Michael","R",923,135,"27.1",-2.249105262033474,5.51501625135428,-0.26319138736160275,4.497560378754082
650644,"Civale, Aaron","R",1094,9999,"42.2",-1.4490793816900887,6.253281535648995,0.19440938501044425,4.762685640766195
650671,"Quijada, José","L",41,108,"35.0",2.110528576675424,5.301951219512195,0.22287438807008392,3.977927992261206
650893,"Cabrera, Génesis","L",409,9999,"44.4",1.5868002777218693,5.966845965770171,-0.12648421544656982,4.284512134504835
