"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
3281,543037,"Cole, Gerrit",3281,100,0.207,0.116,0.263,0.322,0.256,0.289,0.233,157,760,88.9,14.4,2432,92.6,92.51,430,1643,1638,-0.09999999999999432,6.29,112,149,118,151,298,329,289,"46.196","-46.196","69.9","7.2",819,543,110,26,1,20,221,27,47,5.7,1.9034,0.78724,0.25476,-0.07737,"91.3",166,39.226519337016576,7.550644567219153,5.006105006105006,5.92,-2.02,0.16,2.38,0.259,41,"-1.40798537",0.283,0.379,"1.40798537",-0.026,-0.023999999999999966,-0.057,-0.033,26.2,"42.1"
3262,656302,"Cease, Dylan",3262,100,0.25,0.155,0.331,0.405,0.321,0.312,0.241,172,689,89.6,15,2619,89,89.09,469,1511,1751,0.09999999999999432,6.3,110,149,114,148,297,323,297,"-4.849","4.849","69.2","7.3",781,481,112,32,9,19,214,27.4,76,9.7,2.34254,0.58184,0.00581,-0.03291,"91.8",163,41.58004158004158,6.237006237006238,3.841229193341869,6.16,-1.42,0.32,2.18,0.329,30,"0.148651134",0.324,0.381,"-0.148651134",0.009,0.0050000000000000044,0.024,0.009,31,"53.4"
3248,668678,"Gallen, Zac",3248,100,0.239,0.145,0.301,0.383,0.289,0.315,0.255,188,788,91.3,12.2,2235,89.5,89.97,405,1533,1715,0.5,6.59,111,149,118,149,300,318,295,"27.074","-27.074","70.3","7.2",844,574,121,42,3,22,218,25.8,47,5.6,2.24805,0.62448,0.14966,-0.06885,"92.4",163,46.16724738675958,9.233449477351916,6.279620853080568,5.91,-2.79,0.03,2.15,0.284,53,"-0.833559113",0.301,0.428,"0.833559113",-0.016,-0.017000000000000015,-0.045,-0.026,26.4,"42.7"
3207,622491,"Castillo, Luis",3207,100,0.218,0.177,0.268,0.395,0.289,0.302,0.23,160,735,89.6,15.5,2206,92.6,91.4,511,1670,1537,-1.1999999999999886,5.56,113,147,118,148,291,320,300,"15.232","-15.232","70.3","7.2",802,522,91,36,5,28,219,27.3,56,7,2.08354,0.59965,0.93687,-0.12784,"91.8",165,41.7624521072797,9.386973180076629,6.109725685785536,5.09,-2.48,0.01,2.4,0.276,49,"-0.474961023",0.288,0.408,"0.474961023",-0.012,-0.011999999999999955,-0.013,-0.013,30.6,"18.1"
3197,571945,"Mikolas, Miles",3197,100,0.282,0.172,0.309,0.454,0.33,0.354,0.291,226,802,90.2,14.9,2279,87.5,87.67,265,1590,1607,0.20000000000000284,6.4,113,148,117,148,301,318,300,"-7.364","7.364","70.9","7.2",860,674,145,50,5,26,137,15.9,39,4.5,2.63236,0.40759,0.2676,-0.03021,"92.0",164,43.02670623145401,9.792284866468842,7.674418604651163,6.55,-2.09,0.19,2.34,0.319,66,"0.230340945",0.329,0.498,"-0.230340945",-0.009,-0.010000000000000009,-0.044,-0.024,16.7,"47.5"
3190,608337,"Giolito, Lucas",3190,100,0.24,0.243,0.275,0.483,0.339,0.328,0.24,169,704,89.1,18.4,1943,86.8,87.67,430,1492,1698,0.9000000000000057,6.8,111,149,116,148,298,323,296,"-15.118","15.118","69.1","7.4",789,507,87,34,7,41,203,25.7,69,8.7,2.17183,0.88942,0.44905,0.00194,"91.8",166,41.61735700197239,11.045364891518737,7.097591888466413,6.33,-1.27,0.05,2.29,0.313,56,"0.473918495",0.314,0.445,"-0.473918495",0,-0.0010000000000000009,0.038,0.011,28.8,"51.3"
3182,657277,"Webb, Logan",3182,100,0.248,0.126,0.303,0.374,0.283,0.295,0.255,201,811,90.3,0.4,1855,88.6,89.79,314,1507,1675,1.2000000000000028,6.96,112,149,117,150,298,327,299,"28.969","-28.969","70.2","7.2",850,619,143,34,4,20,194,22.8,31,3.6,3.00004,-0.09168,0.65092,-0.06757,"92.7",114,46.04200323101777,6.946688206785137,5.0588235294117645,5.02,-1.28,0.21,2.02,0.28,43,"-0.910402263",0.287,0.395,"0.910402263",-0.007,-0.006999999999999951,-0.021,-0.012,20.8,"22.0"
3168,605483,"Snell, Blake",3168,100,0.181,0.105,0.256,0.286,0.266,0.3,0.208,115,636,87.2,10.6,2296,90.1,90.77,507,1359,1809,0.7000000000000028,6.88,109,151,119,148,299,321,291,"31.609","-31.609","69.7","7.5",742,405,78,22,0,15,234,31.5,99,13.3,2.0286,0.83661,0.14258,-0.15142,"91.1",149,33.827160493827165,7.4074074074074066,4.0431266846361185,6.59,2.12,-0.02,1.98,0.293,30,"-0.997758838",0.318,0.35,"0.997758838",-0.027,-0.025000000000000022,-0.064,-0.034,37.3,"57.5"
3167,458681,"Lynn, Lance",3167,100,0.26,0.225,0.292,0.485,0.348,0.337,0.252,189,728,88,16.8,2403,89.5,89.99,456,1586,1581,0.5,6.56,112,149,118,150,296,320,298,"-21.382","21.382","70.1","7.1",806,540,116,26,3,44,190,23.6,66,8.2,2.16601,0.69665,0.16466,-0.09733,"91.6",165,39.25925925925926,10.37037037037037,6.9478908188585615,5.57,-3.1,0,2.5,0.328,56,"0.675149984",0.322,0.461,"-0.675149984",0.008,0.006000000000000005,0.024,0.011,28.8,"32.5"
3155,554430,"Wheeler, Zack",3155,100,0.229,0.135,0.292,0.364,0.278,0.277,0.23,168,733,86.6,14.2,2516,91.9,93.42,463,1617,1538,1.5,7.17,113,148,115,149,293,323,293,"32.264","-32.264","68.9","7.0",786,527,111,35,2,20,211,26.8,39,5,2.05428,0.67504,0.20513,0.13558,"91.2",153,36.43263757115749,5.1233396584440225,3.435114503816794,5.4,-2.02,0.09,2.35,0.275,27,"-1.022630745",0.277,0.352,"1.022630745",-0.001,-0.0020000000000000018,0.012,0.001,28.6,"31.1"
3139,605135,"Bassitt, Chris",3139,100,0.235,0.168,0.274,0.404,0.304,0.309,0.242,176,748,86.9,12.5,2134,85.6,85.49,325,1485,1654,-0.09999999999999432,6.31,109,149,120,148,289,324,287,"16.283","-16.283","69.0","6.9",822,569,108,38,2,28,185,22.5,56,6.8,2.84663,0.37858,0.3485,0.07071,"91.7",158,35.32513181019332,8.260105448154658,5.7177615571776155,5.63,-1.48,-0.01,2.38,0.297,47,"-0.51873208",0.304,0.405,"0.51873208",-0.007,-0.007000000000000006,-0.001,-0.005,21.9,"39.5"
3119,656605,"Keller, Mitch",3119,100,0.249,0.156,0.31,0.404,0.31,0.315,0.251,187,752,87.4,10.2,2454,90.1,90.48,346,1490,1629,0.4000000000000057,6.54,110,149,114,150,298,320,296,"9.633","-9.633","69.6","6.9",825,548,122,38,2,25,210,25.5,55,6.7,2.32987,0.52109,0.12537,0.10559,"91.5",157,35.583941605839414,8.576642335766424,5.696969696969697,5.89,-2.07,0.18,2.44,0.308,47,"-0.30884899",0.313,0.404,"0.30884899",-0.002,-0.0050000000000000044,0,-0.005,23.2,"38.9"
3100,675911,"Strider, Spencer",3100,100,0.21,0.145,0.316,0.355,0.279,0.273,0.205,146,696,88.4,16.9,2349,92.6,93.87,635,1644,1455,1.3000000000000114,7.05,113,149,120,150,306,325,303,"26.616","-26.616","68.5","7.2",762,415,92,29,3,22,281,36.9,57,7.5,1.67389,1.02326,0.22619,-0.14824,"91.0",185,36.144578313253014,8.19277108433735,4.4619422572178475,5.85,-2.05,0.11,2.26,0.278,34,"-0.858580645",0.274,0.344,"0.858580645",0.005,0.0040000000000000036,0.011,0.006,38.6,"47.7"
3087,605400,"Nola, Aaron",3087,100,0.241,0.186,0.286,0.427,0.304,0.299,0.241,178,738,89,12.4,2283,87,87.74,395,1522,1565,0.7000000000000028,6.84,114,147,116,149,293,323,295,"8.036","-8.036","69.9","7.5",790,545,108,35,3,32,199,25.2,45,5.7,2.75263,0.31259,0.39222,0.06108,"91.9",143,38.53211009174312,8.256880733944955,5.69620253164557,5.17,-2.01,0.07,2.1,0.284,45,"-0.26031746",0.285,0.409,"0.26031746",0,-0.0010000000000000009,0.018,0.005,26,"23.0"
3079,669203,"Burnes, Corbin",3079,100,0.2,0.124,0.244,0.324,0.266,0.285,0.224,141,704,86.2,10.5,2617,90.7,91.4,410,1425,1654,0.7000000000000028,6.57,112,149,117,148,298,323,295,"31.942","-31.942","69.7","7.4",784,510,99,19,1,22,200,25.5,66,8.4,2.287,0.51009,-0.18412,-0.09775,"91.1",140,32.35294117647059,5.294117647058823,3.4438775510204076,5.9,-0.66,0.11,1.9,0.274,27,"-1.037414745",0.298,0.342,"1.037414745",-0.024,-0.023999999999999966,-0.018,-0.019,28.8,"43.4"
3069,592332,"Gausman, Kevin",3069,100,0.233,0.146,0.324,0.379,0.292,0.303,0.235,163,700,88.9,12,2085,90.3,90.57,438,1513,1556,0.29999999999999716,6.58,110,149,120,148,290,327,288,"17.059","-17.059","70.4","7.3",763,466,100,43,1,19,237,31.1,55,7.2,1.9247,0.91034,0.96051,-0.00712,"91.7",157,43.34763948497854,9.871244635193133,6.028833551769332,5.73,-2.44,-0.2,1.89,0.291,46,"-0.555848811",0.294,0.402,"0.555848811",-0.002,-0.0030000000000000027,-0.023,-0.011,28.9,"38.4"
3038,502043,"Gibson, Kyle",3038,100,0.27,0.167,0.311,0.437,0.326,0.335,0.269,198,732,89.1,7.9,2191,87.6,88.5,352,1384,1654,0.9000000000000057,6.88,110,148,116,148,298,323,295,"-4.929","4.929","70.4","7.5",807,589,127,43,5,23,157,19.5,55,6.8,2.46728,0.5369,0.34766,-0.0915,"92.6",133,44.48217317487266,7.6400679117147705,5.5762081784386615,6.26,-2.17,0.26,2.08,0.322,45,"0.162244898",0.325,0.445,"-0.162244898",0.001,-0.0030000000000000027,-0.008,-0.009,25.4,"43.8"
3024,641154,"López, Pablo",3024,100,0.239,0.147,0.314,0.385,0.294,0.27,0.217,176,737,86.6,12.4,2304,89.7,91.21,473,1562,1462,1.5,7.16,113,148,119,150,299,328,292,"18.648","-18.648","69.0","7.1",799,509,121,26,5,24,233,29.2,47,5.9,2.38332,0.47583,0.23164,-0.03906,"91.2",147,34.77406679764244,6.286836935166994,4.005006257822278,5.52,-2,0,2.2,0.291,32,"-0.616666667",0.271,0.34,"0.616666667",0.022,0.019999999999999962,0.045,0.024,30.3,"36.0"
2988,666200,"Luzardo, Jesús",2988,100,0.239,0.17,0.312,0.409,0.307,0.307,0.235,162,677,89,14.2,2202,91.6,90.35,455,1451,1537,-1.1999999999999886,5.66,109,151,118,149,303,319,293,"3.75","-3.75","70.4","7.5",740,472,94,43,3,22,208,28.1,54,7.3,2.03442,0.72575,0.89542,-0.56258,"91.7",164,40.04237288135593,9.533898305084746,6.081081081081082,5.8,2.37,-0.14,2.23,0.3,45,"-0.125502008",0.297,0.41,"0.125502008",0.004,0.0030000000000000027,-0.001,0,31.4,"34.9"
2980,670912,"Oviedo, Johan",2980,100,0.237,0.159,0.281,0.397,0.319,0.328,0.249,161,678,88.4,11.9,2343,90.5,91.91,360,1386,1594,1.4000000000000057,7.06,111,149,114,150,298,321,298,"3.99","-3.99","69.6","7.4",779,525,96,41,5,19,158,20.3,81,10.4,2.32058,0.48973,0.19387,-0.00061,"91.9",153,40.19047619047619,7.6190476190476195,5.134788189987163,5.64,-2.47,-0.16,2.29,0.329,40,"-0.133892617",0.34,0.402,"0.133892617",-0.012,-0.01100000000000001,-0.005,-0.009,26,"30.3"
2952,664285,"Valdez, Framber",2952,100,0.228,0.137,0.284,0.365,0.287,0.32,0.252,166,728,91,3.8,2319,89.5,88.67,373,1394,1558,-0.7999999999999972,5.9,108,150,114,147,294,323,291,"12.407","-12.407","70.3","7.4",808,540,107,37,3,19,200,24.8,57,7.1,2.76848,0.13817,0.61103,-0.37049,"92.5",129,45.55555555555556,7.962962962962964,5.321782178217822,6.18,0.69,-0.07,1.98,0.29,43,"-0.420291328",0.317,0.409,"0.420291328",-0.024,-0.027000000000000024,-0.044,-0.033,26.8,"49.1"
2937,621244,"Berríos, José",2937,100,0.241,0.156,0.29,0.397,0.301,0.325,0.261,173,717,87.9,11.6,2090,88.8,89.02,348,1366,1571,0.20000000000000284,6.52,110,149,119,148,290,324,289,"15.034","-15.034","69.5","7.2",778,537,113,33,2,25,184,23.7,48,6.2,2.41115,0.52749,0.39703,-0.02454,"91.5",153,35.754189944134076,8.56610800744879,5.912596401028278,5.63,-2.32,-0.1,2.17,0.296,46,"-0.511882874",0.315,0.437,"0.511882874",-0.02,-0.019000000000000017,-0.04,-0.024,25.5,"41.3"
2925,665152,"Kremer, Dean",2925,100,0.254,0.162,0.293,0.416,0.317,0.339,0.27,171,673,89.5,12.6,2271,89.8,89.79,335,1395,1530,0,6.27,111,149,118,148,300,323,296,"-1.633","1.633","70.6","7.2",735,518,117,26,1,27,157,21.4,55,7.5,2.07851,0.77898,0.4621,-0.06383,"91.6",165,40.34749034749035,8.880308880308881,6.258503401360545,5.85,-2.42,0.03,2.34,0.314,46,"0.05582906",0.328,0.457,"-0.05582906",-0.016,-0.014000000000000012,-0.041,-0.022,24,"37.3"
2922,571578,"Corbin, Patrick",2922,100,0.293,0.188,0.311,0.481,0.353,0.373,0.303,210,717,89.9,11.1,2057,87.3,88.13,285,1334,1588,0.7999999999999972,6.83,112,149,116,145,307,329,304,"-24.128","24.128","70.1","7.4",790,605,142,34,1,33,124,15.7,57,7.2,2.42615,0.6135,0.61671,-0.46623,"92.6",159,43.96694214876033,9.256198347107437,7.088607594936709,6.31,2.26,-0.03,2.08,0.344,56,"0.825735797",0.356,0.517,"-0.825735797",-0.01,-0.01200000000000001,-0.036,-0.02,21.4,"40.9"
2922,669302,"Gilbert, Logan",2922,100,0.233,0.175,0.274,0.409,0.29,0.297,0.243,169,724,90,13.3,1884,90,91.93,402,1524,1398,1.9000000000000057,7.37,112,147,118,147,291,320,297,"20.613","-20.613","70.0","7.3",769,543,102,36,2,29,189,24.6,35,4.6,2.32852,0.51924,0.20922,-0.05001,"91.9",159,44.56721915285451,9.023941068139964,6.371911573472041,6.2,-1.11,-0.05,2.34,0.269,49,"-0.705441478",0.279,0.41,"0.705441478",-0.01,-0.010000000000000009,-0.001,-0.007,26.4,"52.3"
2920,656756,"Montgomery, Jordan",2920,100,0.247,0.146,0.295,0.393,0.298,0.308,0.253,177,718,87.9,12,2132,88.1,88.62,361,1390,1530,0.5,6.56,111,150,119,147,304,317,294,"15.423","-15.423","70.3","7.5",777,559,111,45,3,18,166,21.4,48,6.2,2.32102,0.64718,0.72082,-0.55185,"91.9",152,37.924865831842574,7.5134168157423975,5.405405405405405,6.69,1.72,0.18,2.15,0.295,42,"-0.528184932",0.303,0.408,"0.528184932",-0.006,-0.008000000000000007,-0.015,-0.01,26,"46.6"
2882,664299,"Javier, Cristian",2882,100,0.234,0.19,0.273,0.424,0.317,0.323,0.23,143,611,88.8,23.9,2401,87.2,86.53,374,1382,1500,-0.7000000000000028,5.99,110,149,115,149,295,325,294,"-1.086","1.086","70.4","7.2",687,459,81,33,4,25,159,23.1,62,9,2.14515,0.92858,-0.10261,-0.00955,"91.4",188,38.344226579520694,9.368191721132897,6.259097525473072,5.72,-1.78,0.07,2.71,0.309,43,"0.037682165",0.307,0.443,"-0.037682165",0.004,0.0020000000000000018,-0.019,-0.006,27.1,"38.5"
2867,676664,"Sears, JP",2867,100,0.249,0.216,0.279,0.465,0.335,0.33,0.245,165,662,88,22.1,2188,87.7,88.05,363,1463,1404,0.3999999999999915,6.53,110,149,116,149,299,322,293,"-19.058","19.058","70.7","7.4",733,505,94,33,4,34,161,22,51,7,2.16952,0.83434,0.48006,-0.37418,"91.7",178,38.415841584158414,11.08910891089109,7.639836289222374,4.76,1.35,-0.14,2.49,0.317,56,"0.664736659",0.314,0.448,"-0.664736659",0.004,0.0030000000000000027,0.017,0.005,24.8,"23.0"
