"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
2849,693821,"Elder, Bryce",2849,100,0.245,0.145,0.275,0.39,0.309,0.328,0.263,160,654,89.6,8.3,2161,86.6,86.4,311,1318,1531,-0.19999999999998863,6.06,112,149,119,150,308,325,303,"1.585","-1.585","70.8","7.4",731,532,106,32,3,19,128,17.5,62,8.5,2.62805,0.41841,0.59712,-0.02069,"92.3",129,40.97744360902256,6.015037593984962,4.377564979480164,6.51,-1.14,-0.05,1.96,0.316,32,"-0.055633556",0.334,0.416,"0.055633556",-0.018,-0.018000000000000016,-0.026,-0.019,23.6,"52.9"
2842,450203,"Morton, Charlie",2842,100,0.244,0.127,0.323,0.371,0.318,0.33,0.248,150,615,88.4,9.7,2629,88,87.83,393,1219,1623,-0.20000000000000284,6.15,111,150,120,150,307,327,304,"0.894","-0.894","69.5","7.4",714,437,103,30,3,14,183,25.6,81,11.3,2.8936,0.08496,0.11399,0.01372,"92.4",149,39.130434782608695,7.780320366132723,4.761904761904762,5.37,-2.44,0.15,2.05,0.342,34,"-0.031456721",0.346,0.399,"0.031456721",-0.004,-0.003999999999999948,-0.028,-0.012,32.2,"20.2"
2839,642547,"Peralta, Freddy",2839,100,0.212,0.175,0.275,0.387,0.291,0.284,0.214,131,617,87,14.7,2266,88.8,89.77,455,1356,1483,1,6.92,112,150,116,148,300,326,297,"19.089","-19.089","69.3","7.1",680,409,75,30,0,26,210,30.9,54,7.9,2.23342,0.71446,0.28818,-0.18312,"91.1",158,37.65281173594132,8.557457212713937,5.147058823529411,5.07,-2.78,-0.07,2.31,0.282,35,"-0.672384642",0.284,0.361,"0.672384642",-0.002,-0.0020000000000000018,0.026,0.007,33.6,"35.7"
2837,592836,"Walker, Taijuan",2837,100,0.238,0.158,0.273,0.397,0.313,0.321,0.248,155,650,88.6,10.5,1920,88.8,88.25,257,1251,1586,-0.5999999999999943,5.9,112,147,116,149,293,322,296,"-2.154","2.154","69.6","7.2",732,516,96,35,4,20,138,18.9,70,9.6,2.26692,0.64944,0.65875,0.05978,"92.2",147,40.89147286821706,6.782945736434108,4.781420765027322,6.43,-1.95,-0.13,2.25,0.319,35,"0.075925273",0.328,0.405,"-0.075925273",-0.01,-0.009000000000000008,-0.008,-0.008,20.5,"39.9"
2825,669923,"Kirby, George",2825,100,0.246,0.149,0.293,0.395,0.284,0.305,0.262,179,727,88.9,12.2,2155,91.6,91.87,353,1540,1285,0.30000000000001137,6.45,111,148,119,147,293,319,297,"26.383","-26.383","70.7","7.1",756,560,122,28,7,22,172,22.8,18,2.4,2.2167,0.53747,0.36349,0.06438,"91.7",160,40.89285714285714,7.5,5.555555555555555,5.87,-1.54,0.08,2.6,0.269,42,"-0.933911504",0.285,0.425,"0.933911504",-0.016,-0.01599999999999996,-0.03,-0.021,22.9,"35.7"
2818,543243,"Gray, Sonny",2818,100,0.226,0.093,0.295,0.319,0.27,0.296,0.244,156,689,88.6,9.3,2544,87.8,88.23,351,1344,1474,0.4000000000000057,6.5,112,148,119,149,298,327,293,"36.564","-36.564","68.9","7.2",754,510,111,34,3,8,183,24.3,55,7.3,2.84393,0.1413,-0.30363,-0.00976,"92.1",141,39.21568627450981,6.862745098039216,4.641909814323608,5.51,-0.91,0.29,2.2,0.288,35,"-1.297515969",0.306,0.364,"1.297515969",-0.018,-0.018000000000000016,-0.045,-0.026,26.1,"48.2"
2818,579328,"Kikuchi, Yusei",2818,100,0.255,0.17,0.315,0.426,0.319,0.319,0.249,165,646,90,13.1,2341,90.5,91.44,384,1372,1445,0.9000000000000057,6.87,106,151,123,147,295,324,284,"-0.94","0.94","71.2","7.3",700,467,110,27,1,27,181,25.9,48,6.9,2.12865,0.68084,0.29024,-0.1879,"91.9",160,42.398286937901496,8.993576017130621,6,5.4,2.27,0.02,2.28,0.311,42,"0.033356991",0.305,0.434,"-0.033356991",0.006,0.006000000000000005,-0.008,0,28,"42.0"
2817,543475,"Lyles, Jordan",2817,100,0.255,0.245,0.256,0.501,0.34,0.339,0.265,176,689,88.5,19.5,2274,85.9,86.77,272,1356,1461,0.8999999999999915,6.81,111,149,118,148,297,327,291,"-12.68","12.68","70.9","7.5",748,575,87,48,2,39,120,16,45,6,2.62332,0.502,0.02775,-0.19143,"92.0",162,35.47826086956521,9.91304347826087,7.620320855614973,5.93,-1.68,0.05,2.31,0.305,57,"0.450124246",0.314,0.481,"-0.450124246",-0.01,-0.009000000000000008,0.02,0.001,20.1,"43.6"
2812,680686,"Gray, Josiah",2812,100,0.251,0.16,0.293,0.412,0.332,0.342,0.254,152,605,87.5,16.7,2094,88.2,87.36,342,1305,1507,-0.7999999999999972,5.71,115,147,115,147,306,331,306,"-7.616","7.616","70.2","7.4",697,466,100,29,1,22,143,20.5,79,11.3,2.3227,0.62472,0.31871,0.04552,"91.7",161,36.69527896995708,9.44206008583691,6.312769010043041,5.18,-1.79,-0.04,2.22,0.344,44,"0.27083926",0.348,0.433,"-0.27083926",-0.003,-0.0040000000000000036,-0.021,-0.01,26.2,"33.8"
2803,518876,"Kelly, Merrill",2803,100,0.222,0.149,0.279,0.371,0.294,0.313,0.244,143,645,89.1,11.7,2304,89.7,89.6,371,1375,1428,-0.10000000000000853,6.2,111,149,119,149,300,318,296,"15.886","-15.886","71.1","7.4",721,462,90,30,3,20,187,25.9,68,9.4,2.28514,0.56201,0.57658,-0.05146,"91.7",143,41.77489177489178,7.792207792207792,4.993065187239944,5.51,-1.74,-0.04,2.09,0.299,36,"-0.566749911",0.319,0.389,"0.566749911",-0.022,-0.020000000000000018,-0.018,-0.019,27,"26.9"
2795,673540,"Senga, Kodai",2795,100,0.208,0.119,0.279,0.327,0.282,0.304,0.225,126,605,88.5,12.9,2094,89.4,89.59,376,1264,1531,0.19999999999998863,6.47,115,149,117,150,296,324,297,"18.5","-18.5","69.8","7.4",693,409,88,21,0,17,201,29,77,11.1,2.18596,0.72251,0.301,-0.00217,"91.8",156,40.58679706601467,6.845965770171149,4.040404040404041,5.92,-1.94,0.01,2.05,0.301,28,"-0.661896243",0.316,0.365,"0.661896243",-0.017,-0.015000000000000013,-0.038,-0.022,29.7,"47.6"
2721,645261,"Alcantara, Sandy",2721,100,0.251,0.14,0.289,0.391,0.301,0.32,0.265,176,700,88.3,6.9,2225,94.1,93.65,375,1474,1247,-0.3999999999999915,6.06,112,148,116,150,302,320,298,"14.602","-14.602","70.5","7.2",762,557,123,30,1,22,151,19.8,48,6.3,2.02569,0.56707,0.99833,-0.08269,"91.9",136,40.57450628366247,7.001795332136446,5.118110236220472,6.03,-1.94,-0.19,2.27,0.302,39,"-0.536640941",0.317,0.417,"0.536640941",-0.014,-0.015000000000000013,-0.026,-0.019,25.4,"33.7"
2720,686613,"Brown, Hunter",2720,100,0.263,0.194,0.33,0.457,0.341,0.319,0.241,157,598,90.7,7.1,2237,91.2,91.69,313,1262,1458,0.5,6.68,109,149,115,148,296,324,292,"-11.658","11.658","69.0","6.9",664,423,95,34,2,26,177,26.7,55,8.3,2.28193,0.50008,0.10961,-0.03012,"91.7",150,44.44444444444444,10.874704491725769,6.927710843373494,6.17,-1.35,0.07,2.36,0.333,46,"0.428602941",0.314,0.414,"-0.428602941",0.022,0.019000000000000017,0.043,0.022,24.8,"56.5"
2712,657376,"Schmidt, Clarke",2712,100,0.268,0.183,0.313,0.451,0.334,0.32,0.256,169,630,88.9,13.6,2773,88.9,89.15,291,1276,1436,0.29999999999999716,6.33,112,149,116,151,296,328,290,"-11.447","11.447","70.0","7.2",694,488,103,41,1,24,149,21.5,46,6.6,2.58829,0.30412,-0.33755,0.07957,"92.1",148,40.98360655737705,7.581967213114754,5.3314121037463975,5.57,-1.59,0.16,2.23,0.326,37,"0.422087021",0.316,0.417,"-0.422087021",0.012,0.010000000000000009,0.034,0.014,22.8,"34.1"
2696,641540,"Dunning, Dane",2696,100,0.25,0.143,0.288,0.393,0.31,0.325,0.261,163,652,88.7,10.7,2118,87,87.81,283,1268,1428,0.7999999999999972,6.79,115,149,117,150,304,329,301,"10.403","-10.403","70.2","7.4",722,517,113,27,3,20,140,19.4,55,7.6,2.64092,0.39469,0.50937,-0.06004,"91.9",143,40.232108317214696,7.543520309477756,5.401662049861495,5.45,-2.45,0.17,2.19,0.316,39,"-0.385867953",0.327,0.415,"0.385867953",-0.011,-0.01100000000000001,-0.022,-0.015,22.3,"37.8"
2683,657746,"Ryan, Joe",2683,100,0.248,0.205,0.305,0.453,0.316,0.292,0.225,155,625,89.6,20,2045,88.1,88.44,396,1477,1206,0.30000000000001137,6.5,112,149,121,150,301,328,295,"-0.103","0.103","70.5","7.1",671,435,92,30,1,32,196,29.2,34,5.1,2.20398,0.76925,0.61389,-0.09275,"91.5",178,41.60919540229885,8.735632183908045,5.663189269746647,5,-2.62,0.08,2.56,0.291,38,"0.003838986",0.271,0.403,"-0.003838986",0.023,0.019999999999999962,0.05,0.024,26.8,"27.4"
2678,657006,"Steele, Justin",2678,100,0.251,0.12,0.32,0.371,0.291,0.29,0.25,167,665,87.1,8.7,2484,88.8,88.86,340,1418,1260,0.10000000000000853,6.26,109,152,115,150,302,325,290,"18.734","-18.734","69.3","7.0",715,497,117,34,2,14,175,24.5,36,5,2.3358,0.57171,-0.4544,0.20997,"91.6",146,36.61971830985916,5.432595573440644,3.7762237762237763,6.11,1.98,-0.25,2.4,0.296,27,"-0.699551904",0.296,0.366,"0.699551904",0.001,0,0.005,0.001,24,"47.3"
2639,680694,"Bradish, Kyle",2639,100,0.215,0.115,0.271,0.33,0.268,0.3,0.239,132,615,89.9,6.5,2390,90.6,90.9,314,1208,1430,0.30000000000001137,6.44,111,149,118,148,297,322,295,"29.617","-29.617","69.7","7.1",671,450,90,27,1,14,168,25,44,6.6,2.49431,0.30039,-0.18256,-0.02162,"91.8",150,42,6.888888888888889,4.619970193740686,6.27,-1.36,0.04,2.25,0.275,31,"-1.122281167",0.298,0.388,"1.122281167",-0.024,-0.022999999999999965,-0.058,-0.032,26,"53.7"
2634,656427,"Flaherty, Jack",2634,100,0.287,0.163,0.357,0.45,0.356,0.343,0.27,162,565,87.8,11.5,2353,86.9,87.86,308,1158,1475,1,6.78,113,148,117,149,299,320,298,"-13.641","13.641","69.7","7.2",648,423,106,37,2,17,148,22.8,64,9.9,2.64985,0.41841,-0.28998,0.01871,"91.6",153,38.297872340425535,7.328605200945626,4.78395061728395,5.41,-2.53,0.03,2.05,0.368,31,"0.517881549",0.356,0.42,"-0.517881549",0.017,0.01200000000000001,0.03,0.013,26.6,"29.8"
