Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Sogard","BOS",24.16,89.77,80.6542,18.5386,13.54,3.79569,0.224675,0.97826,8.80645,7.4342,7.53725,0.148673,19.5312,0.628387,0.6271,0.323088,1.52131,1.88301,0.596868,0.229853,0.0839618,0.217569,0.385908,0.298549,0.318873,0.275613,0.617422,0.0890198,4.35502,0.288956,,-0.0101382,7.87808,-2.72894,70.2073,-0.0101382,0,-3.1623336486518383,-0.12427984178066254,-0.0201429,999,,,,,,,74.4,3.1,74.4,3.1,,,,,,,,,,,,,,,,,,,"Nick Sogard","25483",686765
"Tyler Callihan","PIT",21.133,63.237,57.3321,12.5594,8.4699,2.63426,0.208471,1.24677,6.61154,5.43248,4.40595,0.128401,17.657,0.50419,0.359839,0.63489,0.889975,1.67022,0.451166,0.219064,0.0696736,0.279219,0.24953,0.279057,0.337523,0.271543,0.616579,0.118459,5.18155,0.291651,,0.0618006,5.3406,-2.13134,69.7172,0.0618006,-0.16,-2.207861263304949,-0.09477470070123672,-0.0203321,999,,,,,,,52.7,2.509523809,52.7,2.509523809,,,,,,,,,,,,,,,,,,,"Tyler Callihan","27497",682997
"Aaron Schunk","ATL",8.286,21.739,20.3183,4.48335,3.11997,0.914693,0.0968892,0.351803,2.05184,1.99747,1.0581,0.0386178,5.44985,0.145146,0.150926,0.0665144,0.333687,0.223709,0.0922518,0.220656,0.0486727,0.250695,0.194151,0.262388,0.327155,0.257849,0.589543,0.106499,4.32248,0.281679,,-0.0213224,1.59424,-0.974388,61.7491,-0.0213224,0,-1.0068660378456116,0.07987581193447113,-0.020844,999,,,,,,,8.3,1.0375,8.3,1.0375,,,,,,,,,,,,,,,,,,,"Aaron Schunk","25524",668845
"Sterlin Thompson","COL",6.728,26.517,24.194,5.90838,3.99252,1.22258,0.135723,0.557549,2.94986,2.73675,1.73893,0.03753,6.38393,0.394971,0.149821,0.0392407,0.493489,0.422705,0.14191,0.244208,0.0655781,0.240749,0.272392,0.303737,0.375095,0.297516,0.678832,0.130887,4.78168,0.307477,,-0.0137704,2.79864,-0.334553,75.74,-0.0137704,0,-0.776216366328299,-0.3114814758300781,-0.0210222,999,,,,,,,27.9,3.985714285,27.9,3.985714285,,,,,,,,,,,,,,,,,,,"Sterlin Thompson","sa3019999",694514
"Akil Baddoo","MIL",8.501,31.215,27.8936,5.76195,3.65122,1.18527,0.180326,0.745129,3.35479,2.98767,2.90375,0.100585,8.86172,0.150977,0.165797,0.100887,0.37032,0.959539,0.273569,0.206569,0.093024,0.283893,0.327673,0.283366,0.342131,0.275911,0.625497,0.135562,5.72549,0.271877,,0.03627,2.74693,-0.941363,75.3477,0.03627,0.02,-0.8757713176310062,-0.37356482073664665,-0.021568,999,,,,,,,28.8,3.2,28.8,3.2,,,,,,,,,,,,,,,,,,,"Akil Baddoo","22168",668731
"Rece Hinds","CIN",11.422,38.427,35.6545,7.7893,4.54401,1.69244,0.16725,1.3856,4.36411,4.4243,2.16157,0.0919723,13.2004,0.346286,0.222739,0.0418823,0.4329,0.891024,0.266026,0.218466,0.0562513,0.343518,0.163751,0.268259,0.391901,0.284586,0.66016,0.173435,5.4055,0.300766,,0.0233158,3.65223,-0.888214,75.6555,0.0233158,0.12,-1.0854286309331656,-0.4087963178753853,-0.0220739,746.6500244140625,,,,,,,31.9,2.9,31.9,2.9,,,,,,,,,,,,,,,,,,,"Rece Hinds","27493",677956
"Tyler Locklear","ARI",53.353,211.59,190.433,45.1563,29.6875,9.27625,0.569636,5.62291,24.0573,23.9988,15.8316,0.786158,58.3924,3.74831,1.33029,0.24715,3.97407,3.70174,1.1766,0.237125,0.0748219,0.27597,0.271124,0.306309,0.3804,0.300533,0.686708,0.143275,4.61444,0.309465,,-0.0615476,22.8498,-2.15114,90.4758,-0.0615476,-0.09,-2.449995808303356,-4.8055427968502045,-0.022088,999,,,,,,,215,4.056603773,215,4.056603773,,,,,,,,,,,,,,,,,,,"Tyler Locklear","31396",682988
"Heston Kjerstad","BAL",13.158,49.422,45.1231,10.2549,6.78961,2.08224,0.155295,1.22779,5.08391,5.09354,3.04611,0.131021,12.8937,0.839916,0.348362,0.0644885,0.876847,0.252332,0.101063,0.227266,0.0616346,0.260889,0.236248,0.286501,0.361924,0.283749,0.648425,0.134658,3.48339,0.287947,,-0.0605327,4.66365,-1.17594,81.4521,-0.0605327,-0.18,-1.1409403271973133,-0.7891666889190674,-0.023438,999,,,,,,,38.2,2.938461538,38.2,2.938461538,,,,,,,,,,,,,,,,,,,"Heston Kjerstad","31166",677008
"Tristan Peters","CHW",9.973,36.195,32.854,7.24016,4.85245,1.54021,0.189506,0.65799,3.56541,3.14907,2.73418,0.0830603,7.44818,0.247596,0.294953,0.0643062,0.553028,0.495239,0.162931,0.220374,0.0755403,0.205779,0.367094,0.282916,0.338874,0.273609,0.62179,0.1185,4.50674,0.262837,,-0.0188461,3.11752,-1.1592,72.7657,-0.0188461,-0.05,-1.1806630473583937,-0.3065071888267994,-0.024698,999,,,,,,,30.4,3.04,30.4,3.04,,,,,,,,,,,,,,,,,,,"Tristan Peters","30063",671976
"José Barrero","BAL",3.949,9.459,8.7031,1.64064,1.06292,0.293608,0.0308799,0.25323,0.964819,0.855383,0.537843,0.000401062,3.26318,0.140384,0.0550768,0.0225988,0.102826,0.231674,0.061152,0.188512,0.0568604,0.344982,0.164821,0.245736,0.316634,0.248346,0.56237,0.128122,5.67216,0.264683,,0.00980016,0.620697,-0.496956,57.0642,0.00980016,0,-0.46887126937508583,-0.10426586866378784,-0.0253299,999,,,,,,,5.2,1.3,5.2,1.3,,,,,,,,,,,,,,,,,,,"Jose Barrero","23378",676480
"Jhonkensy Noel","BAL",7.464,26.197,24.2042,5.17958,3.11631,0.93843,0.0626222,1.06222,2.79269,3.20097,1.46454,0.0411662,7.65232,0.349705,0.15215,0.026418,0.418015,0.0813154,0.0274215,0.213995,0.0559047,0.292107,0.191385,0.26724,0.389599,0.284159,0.656839,0.175603,3.17457,0.263228,,-0.0272447,2.48077,-0.614607,81.7346,-0.0272447,0,-0.5912105105817318,-0.5759259462356567,-0.0271617,999,,,,,,,19.3,2.757142857,19.3,2.757142857,,,,,,,,,,,,,,,,,,,"Jhonkensy Noel","24257",678877
"Nicky Lopez","COL",10.881,31.37,28.1246,6.9792,5.71837,1.04373,0.193638,0.0234551,3.19838,2.03109,2.35628,0.0457594,4.6172,0.243496,0.188207,0.422914,0.84108,0.661509,0.240872,0.248153,0.0751124,0.147185,0.510327,0.309873,0.301536,0.274754,0.611409,0.0533831,5.17589,0.293837,,-0.0209511,2.7311,-0.975512,60.1475,-0.0209511,0.02,-1.502666275948286,0.18791665509343147,-0.027733,999,,,,,,,22,2,22,2,,,,,,,,,,,,,,,,,,,"Nicky Lopez","19339",670032
"Richie Palacios","TBR",46.942,174.085,154.011,34.7752,24.3165,6.95215,0.55078,2.9557,18.3687,15.0689,16.27,0.49062,33.6841,1.79626,1.18469,0.823241,3.04438,4.68249,1.28162,0.225797,0.0934599,0.193492,0.483016,0.30498,0.335664,0.28514,0.640644,0.109868,4.96994,0.268392,,0.135094,16.6239,-3.94559,80.0835,0.135094,-0.49,-3.9513530880212784,-2.315522313117981,-0.0281515,999,,,,,,,156.9,3.338297872,156.9,3.338297872,,,,,,,,,,,,,,,,,,,"Richie Palacios","24589",680700
