Year,System,Player Type,Stat Group,Stat,RMSE,MAE,Bias,R2,LA-RMSE,LA-MAE,LA-Bias,LA-R2,WLA-RMSE,WLA-MAE,WLA-Bias,WLA-R2,N Players
2010,Marcel,batting,Standard,1B/(BIP-HR),0.066574906,0.044010987123733816,0.013749370667767043,0,0.066121133,0.043681800782696754,0.011350389793163827,0,0.034201403,0.025872767983256727,-2.28E-17,0.009575807,622
2010,ZiPS,batting,Standard,1B/(BIP-HR),0.067767561,0.045034767,0.018770987927277716,0,0.066346349,0.043918687,0.012717928151858713,0,0.034129957,0.026129613744311445,-4.31E-17,0.013709441879380169,622
2010,Marcel,batting,Standard,2B/(BIP-HR),0.038932393433099136,0.024490387507519244,0.004944534,0.030316168,0.038702235,0.024206487,0.002565175,0.041747344,0.019607783252512667,0.014374372382425865,-7.28E-18,0.19697684296899798,622
2010,ZiPS,batting,Standard,2B/(BIP-HR),0.038791358869288715,0.024086857932525137,0.004835421,0.037328901,0.038535081,0.023748418164158125,0.001887911,0.050006817,0.019007202,0.013753998874227917,-6.33E-19,0.24541621653897672,622
2010,Marcel,batting,Standard,3B/(BIP-HR),0.016750761,0.007102055,0.000676622,0.021566818728803172,0.016738746,0.00681299,-0.00023547,0.022969919884758272,0.006806808,0.004620173,-2.20E-18,0.18813483995570013,622
2010,ZiPS,batting,Standard,3B/(BIP-HR),0.016577222079157437,0.006702288,0.000562589,0.041735065,0.016572732724560228,0.006455729,-0.000409493,0.042254019554082256,0.006575551,0.004420142,-1.52E-18,0.24236298402656875,622
2010,Marcel,batting,Standard,AVG,0.066655357,0.044271399921746744,0.027014603153425066,0,0.06345604,0.042028818,0.017706529,0,0.032096464,0.024702226503595968,-3.55E-17,0.12183280113494899,622
2010,Marcel,batting,Fantasy,AVG,0.026889839971801117,0.021459433083491897,0.004594353,0.000697772,0.026494457,0.021356605578278277,-2.88E-05,0.029868818295437527,0.026176684645213402,0.021108745184296947,1.7934249461319035e-17,0.024717221253160115,270
2010,ZiPS,batting,Standard,AVG,0.064030966,0.042934409910232486,0.022285248121238388,0,0.062076439,0.041546781,0.015816190530587245,0.033046004,0.032009355,0.024709650846758732,-2.15E-17,0.12659297584389217,622
2010,ZiPS,batting,Fantasy,AVG,0.026965850194318387,0.021993106,0.001380088,0,0.026935200632474482,0.021987579,-0.000502591,0,0.026421993823063754,0.021542848409838587,1.46734768319883e-17,0.006352265,270
2010,Marcel,batting,Standard,BABIP,0.082386993,0.050720781502921676,0.019370526,0,0.08123758,0.049868215,0.013680095355419912,0,0.038743902487542475,0.029064283,-3.93E-17,0.030301801,622
