"","Name","Position","1B_total","2B_total","3B_total","HR_total","BB_total","SO_total","RBI_total","SB_total","R_total","H_total","FPTS"
"1","A.J. Ewing","CF/2B/RF",16.26361776503,3.66694808705381,1.24760312181043,0.695281449820594,16.6876751183661,22.1123542695519,9.39396398983122,6.19472871303784,13.5618969397752,21.8734504237148,80.9065853243733
"2","A.J. Vukovich","LF/RF",15.6389617645575,4.14157743945292,0.550180593286161,3.07252630461802,14.5355977356128,35.3627750690738,11.9648148883638,1.034283168923,11.9425037062781,23.4032461019146,74.2480825401142
"3","Aaron Bracho",NA,6.41450073906299,1.77381326980838,0.157729919565003,1.74618095881711,7.90667834410095,15.7841055266086,6.806325806071,0.522161881900151,5.24258027140167,10.0922248872535,34.3914530799144
"4","Aaron Judge","RF",76.5370328353926,24.8577920768181,0.895261051839871,46.8450389266149,254.767762974788,157.363572552571,115.286673147886,8.75372844652549,107.602238882426,149.135124890666,688.867873556606
"5","Aaron McKeithan","C",4.73182920413386,0.641746543606415,0.000453811496055777,0.349262810605601,5.46644034022303,7.50799764844466,3.30540127597802,0.00122332575178601,2.18915400426535,5.72329236984193,16.8481006654916
"6","Aaron Parker","C",4.89161647184245,1.91437747454544,0.156166791078589,1.21657201022833,5.11806853394147,12.0325614042,5.28056061620683,0.345264368519282,4.3621084046979,8.1787327476948,28.3679973156961
"7","Aaron Sabato","1B",8.17517289632926,2.72419239840791,0.156889527905641,1.92110350770625,10.6156134195944,24.3163811008101,7.45683488658122,0.346487694271068,5.90171609729679,12.9773583303491,37.1220145457241
"8","Aaron Schunk","3B/SS/2B",11.9803917954105,3.57473580629585,0.376271352608087,1.41911742439961,9.49310950090299,21.3170143783613,8.45879924390715,0.825657752827454,8.6135542426737,17.350516378714,57.2171767818999
"9","Aaron Zavala","LF/CF/RF",10.0738653059542,2.59233120573122,0.316485116954429,1.23914811575169,18.6517141467304,31.578053177877,7.197936611882,0.876560416032768,8.66108333184667,14.2218297443916,34.7657622019542
"10","Abel Bastidas",NA,5.05580360046488,1.11861359687202,0.156267638077713,0.174556539809171,3.75467193110284,13.603014626375,2.80869162843694,0.173031804005225,3.52328335870195,6.50524137522378,14.3725347828954
"11","Abimelec Ortiz","1B/RF",35.8565945202925,11.0085482992903,1.09286107870927,9.74142091576319,44.1661873988456,74.952299616641,33.2781522093226,1.09799549950121,30.9416091961539,57.6994248140552,205.882264934501
"12","Abraham Toro","1B/3B/2B",13.4255409311364,4.45063145589174,0.566866464196789,2.43274913512249,14.8985520134118,20.5864780453352,10.1486671080297,0.932788659433425,10.6059815327068,20.8757879863475,76.61093500353
"13","Abrahan Gutierrez","C",5.70706921135427,1.2795568012237,0.000487427162430279,0.349179626723791,4.78163485498054,9.24688496766327,3.79949463473413,0.173374335215725,3.0254066508587,7.33629306646419,22.0883403882578
"14","Adael Amador","2B",28.2872795011023,7.10434300279354,0.576477799828683,3.77483407463216,34.8828793467596,31.2316726356818,18.5250665213257,5.78552398432986,20.0502228234833,39.7429343783567,151.939744654875
"15","Adam Frazier","2B",37.2328128481391,9.21307432345574,1.17727793466317,3.17344981801487,33.4525796126347,45.5960460297734,20.3781112033732,3.95670899189476,24.0616636257723,50.7966149242729,176.278262210912
"16","Adam Hackenberg","C",6.85524530139885,1.60021415860556,0.000403387996494024,0.696895217127717,6.83840622897401,17.2908478292708,4.46404275506432,0.518198306464364,4.20260763560476,9.15275806512862,23.0439816492302
"17","Adam Hall",NA,6.35642257500034,1.27862670833175,0.312552083988612,0.174240441058291,5.80068263690866,16.7349852058601,3.96095483486447,2.23941480292332,4.19438572612179,8.12184180837899,20.4517477826703
"18","Adam Retzbach","1B/C",6.83845813975836,2.2334902133746,0.31219911949168,1.38948150917765,10.5646883120924,27.8647363983726,6.76082290112468,0.344791349228592,4.69711417461044,10.7736289818023,23.2852119518889
"19","Adam Zebrowski","C",7.81476426712328,1.91512487061932,0.156234022411338,1.3894149620722,8.18064127461687,22.2971244998039,6.10299505198724,0.344921837308782,5.19852386138003,11.2755381222261,29.5717684192092
"20","Addison Barger","RF",61.1957378794838,24.9390006645005,0.956979946087597,18.0276393402534,81.3939245931467,116.597191845229,63.1653021204776,4.11027755893161,57.9617511480423,105.119357830325,404.934091050635
"21","Addison Kopack",NA,2.12962667017029,0.640799841912826,0.312098272492557,0.175255284416379,3.42092024238929,8.39803300396317,1.4926084319946,0.00225091938328626,2.01892405032215,3.25778006899205,6.67985284486011
"22","Adley Rutschman","C",79.3422852284677,25.6882864987588,1.17783383491571,17.3611458283619,127.411296809029,88.4248481119335,65.7195820210151,1.01047521903884,66.8992092167322,123.569551390504,496.040464170041
"23","Adolis García","RF",71.5587363783519,24.2233323363196,1.01151755870628,23.9493108109777,76.2821328164477,144.748856204355,76.4468595431825,11.3487734886499,66.719696827819,120.742897084355,470.089464795028
"24","Adrian De Leon","C",5.05169142276464,1.75458027750705,0.000302540997370518,0.521673206264062,10.2254091068934,20.0417936466064,4.12506552363317,0.173015492995201,4.19306696440274,7.32824744753311,13.754301655318
"25","Adrian Del Castillo","C",28.9423126610817,10.4463578776911,0.931879937825856,6.96445434136816,38.8054758974916,65.365936459837,27.9332774763059,0.552802968228401,24.6855323791689,47.2850048179668,162.864171595214
"26","Adrian Pinto","2B/CF",2.45901627993372,0.482962483468182,0.000420195829681275,0.696595755153199,2.74026857131042,4.20568164433061,2.64871912192943,0.518198306464364,3.02569970901849,3.63899471438479,15.4775097768232
"27","Adrian Placencia","2B",9.43690386940319,2.2329753405237,0.468063369572899,2.25580913899501,17.0312062593231,32.3804623060621,8.73485364619135,0.861097578530193,9.21204813476183,14.3937517184948,39.5453217055602
"28","Adrian Rodriguez","SS/2B/3B",7.49021450436507,0.958517441404071,0.312115080325744,0.17430698816374,8.51871031348473,18.2974173866298,3.95967234036204,0.345329612559377,5.19539790767561,8.93515401425862,20.1141130832899
"29","Adrian Santana","SS/2B",13.0162417352885,2.23320786374669,0.312148695992118,0.174140620400119,8.17769762678438,12.193660577433,5.44186691699688,3.78877388809877,9.04325090959983,15.7357389154274,56.6673750004761
"30","Adrián Sugastey","C",8.96955707108059,1.76050961969321,0.156939951405203,0.697161405549511,4.78497098919069,8.03305032462435,4.95993160612383,0.174140952686844,4.70494533988036,11.5841680477285,40.7243454564044
